,index,hotbit,gaussian
0,0.0,-2250.146604906839,-219552.4913459152
1,1.0,-2250.0441401148923,-219552.4913459152
2,2.0,-2249.9086595907297,-219557.62189454437
3,3.0,-2249.7959600274958,-219552.4913459152
4,4.0,-2249.0737336395746,-219552.02046237237
5,5.0,-2249.049391949029,-219557.62189454437
6,6.0,-2249.04574505852,-219553.10885453105
7,7.0,-2248.8832748291493,-219551.97357019322
8,8.0,-2248.8026306263805,-219551.07167095222
9,9.0,-2248.7617478861607,-219556.59931597047
10,10.0,-2248.7609959588485,-219552.02046237237
11,11.0,-2248.699289272281,-219556.29094135627
12,12.0,-2248.696284127002,-219553.10885453105
13,13.0,-2248.681804056015,-219552.52248080337
14,14.0,-2248.633604868566,-219556.59931597047
15,15.0,-2248.5272408140017,-219551.07167095222
16,16.0,-2248.4142395699537,-219552.4913459152
17,17.0,-2248.049521560495,-219556.59931597047
18,18.0,-2247.9798734144465,-219552.4913459152
19,19.0,-2247.9128673498726,-219553.10885453105
20,20.0,-2247.833236581327,-219549.73641456827
21,21.0,-2247.7598581587285,-219551.8107448531
22,22.0,-2247.716309679216,-219553.10885453105
23,23.0,-2247.702764852708,-219552.4913459152
24,24.0,-2247.532895072611,-219551.41383831092
25,25.0,-2247.5222791677024,-219551.99154236447
26,26.0,-2247.476691945447,-219556.29094135627
27,27.0,-2247.463735162971,-219556.29094135627
28,28.0,-2247.4471336954493,-219557.62189454437
29,29.0,-2247.4444330965252,-219551.41383831092
30,30.0,-2247.414500652654,-219551.07167095222
31,30.999999999999996,-2247.4128868706416,-219552.4913459152
32,32.0,-2247.3597614721975,-219552.08488374675
33,33.0,-2247.349810957829,-219557.62189454437
34,34.0,-2247.343998359801,-219552.52248080337
35,35.0,-2247.3333630553493,-219550.469413369
36,36.0,-2247.2107559396118,-219551.8107448531
37,37.0,-2247.1859109124957,-219551.07167095222
38,38.0,-2247.0361253872265,-219552.4913459152
39,39.0,-2247.012844106005,-219552.08488374675
40,40.0,-2246.969973197872,-219557.62189454437
41,41.0,-2246.9629991338575,-219552.52248080337
42,42.0,-2246.9283301696755,-219556.59931597047
43,43.0,-2246.9239242907965,-219552.4913459152
44,44.0,-2246.904890436215,-219556.29094135627
45,45.0,-2246.9030619810896,-219550.4815635693
46,46.0,-2246.8883475587277,-219553.10885453105
47,46.99999999999999,-2246.8812257981385,-219556.59931597047
48,48.0,-2246.8562504522315,
49,49.0,-2246.843889624693,
50,50.0,-2246.7209018158387,
51,50.99999999999999,-2246.7001408148185,
52,52.0,-2246.6454882161715,
53,53.0,-2246.6422543808344,
54,54.0,-2246.6212334525076,
55,55.00000000000001,-2246.6162574063715,
56,56.0,-2246.61331366123,
57,57.0,-2246.4801137196523,
58,58.0,-2246.416139866078,
59,59.00000000000001,-2246.3612804693,
60,60.0,-2246.252404873446,
61,61.0,-2246.2246058774217,
62,61.99999999999999,-2246.0612326244677,
63,63.00000000000001,-2246.0471429826666,
64,64.0,-2245.992278746556,
65,65.0,-2245.8291242858545,
66,66.0,-2245.744140111483,
67,67.0,-2245.708891156477,
68,68.0,-2245.6569731144596,
69,69.0,-2245.648500822231,
70,70.0,-2245.618927149545,
71,71.0,-2245.6164206434905,
72,72.0,-2245.560089149371,
73,73.0,-2245.5465332787776,
74,74.0,-2245.522360420695,
75,75.0,-2245.453686856081,
76,76.0,-2245.449953999707,
77,77.0,-2245.428863619266,
78,78.0,-2245.4217504135504,
79,79.0,-2245.416890062437,
80,80.0,-2245.4037870285597,
81,81.0,-2245.3933504107645,
82,82.0,-2245.392100565683,
83,83.0,-2245.3375192122294,
84,84.0,-2245.328619052366,
85,85.0,-2245.169116878718,
86,86.0,-2245.1440232371883,
87,87.0,-2245.1170393528605,
88,88.0,-2245.1147984993863,
89,89.0,-2245.1075179467357,
90,90.0,-2245.0974452644973,
91,91.00000000000001,-2245.0313564082476,
92,92.0,-2245.022818076516,
93,93.0,-2244.990895781733,
94,93.99999999999999,-2244.979158315457,
95,95.0,-2244.91534516906,
96,96.0,-2244.9043751329436,
97,97.0,-2244.8987617601665,
98,98.0,-2244.6847365206,
99,99.00000000000001,-2244.6517825975807,
100,100.0,-2244.641802521896,
101,101.0,-2244.609524554912,
102,101.99999999999999,-2244.594769896012,
103,103.0,-2244.5882724771072,
104,104.0,-2244.5232968706728,
105,105.0,-2244.5072125195165,
106,106.0,-2244.4641492422497,
107,107.00000000000001,-2244.3559137001935,
108,108.0,-2244.295135205308,
109,109.0,-2244.1962107528066,
110,110.00000000000001,-2244.150121087268,
111,111.0,-2244.149798298506,
112,112.0,-2244.1426481643493,
113,112.99999999999999,-2244.054422619028,
114,114.0,-2243.5892354763328,
115,115.0,-2243.4015858792272,
116,116.0,-2243.285595245681,
117,117.0,-2243.272469125843,
118,118.00000000000001,-2243.264437841551,
119,119.0,-2243.226262280127,
120,120.0,-2243.223993274405,
121,120.99999999999999,-2243.2020297308522,
122,122.0,-2243.1679449723297,
123,123.0,-2242.91247665115,
124,123.99999999999999,-2242.869404626887,
125,125.0,-2242.8097231226893,
126,126.00000000000001,-2242.7725999243253,
127,127.0,-2242.6029841737445,
128,128.0,-2242.570916211416,
129,129.0,-2242.568596446821,
130,130.0,-2242.4968015087566,
131,131.0,-2240.3915989052944,
132,132.0,-2239.572192256206,
133,133.0,-2239.2300747811446,
134,134.0,-2238.907861226174,
135,135.0,-2237.5692524230335,
136,136.0,-2234.1095918019582,
