,index,hotbit
0,0,-46.06210272413773
1,1,-46.062000873941884
2,2,-46.061628745026155
3,3,-46.01787316212932
4,4,-46.017797075195915
5,5,-46.017775905603514
6,6,-46.00799762526344
7,7,-46.00787281763718
8,8,-45.985192613314155
9,9,-45.98518277946101
10,10,-45.98510343736166
11,11,-45.974528023006656
12,12,-45.974445209815826
13,13,-45.974356345756405
14,14,-45.95910978074676
15,15,-45.95903693574917
16,16,-45.95892143180794
17,17,-45.833753745620356
18,18,-45.83373383013469
19,19,-45.83368373214461
